Game,ReleaseDate,Genre,TotalEarnings,OnlineEarnings,TotalPlayers,TotalTournaments,AvgPlayerTourment,AvgEarningsTourment
King of Fighters XIV,2016,Fighting Game,74402.09,73542.09,90,39,2.3076923076923075,1907.7458974358974
NHL 13,2012,Sports,70000.0,70000.0,1,1,1.0,70000.0
Ring of Elysium,2018,Battle Royale,70000.0,0.0,9,4,2.25,17500.0
Rise of Nations: Rise of Legends,2006,Strategy,69600.0,69600.0,8,1,8.0,69600.0
S S Bros,1999,Fighting Game,68832.81,68692.81,238,126,1.8888888888888888,546.2921428571428
Project Cars,2015,Racing,68029.21,10602.71,50,115,0.43478260869565216,591.558347826087
Return to Castle Wolfenstein,2001,First-Person Shooter,67424.3,67424.3,30,3,10.0,22474.766666666666
Call of Duty 2,2005,First-Person Shooter,66828.51,60874.71,41,17,2.411764705882353,3931.0888235294115
Project Cars 2,2017,Racing,66150.0,58150.0,37,22,1.6818181818181819,3006.818181818182
Battlerite,2016,Multiplayer Online Battle Arena,65173.45,28000.0,86,75,1.1466666666666667,868.9793333333333
Dead or Alive 6,2019,Fighting Game,64532.54,63422.54,65,20,3.25,3226.627
World of Tanks Blitz,2016,Strategy,63330.0,60000.0,14,6,2.3333333333333335,10555.0
Enemy Territory: Quake Wars,2007,First-Person Shooter,60923.12,60923.12,27,4,6.75,15230.78
Carom 3D,1999,Sports,60500.0,60500.0,11,4,2.75,15125.0
Soul Calibur V,2012,Fighting Game,60428.54,60428.54,79,27,2.925925925925926,2238.094074074074
Dead By Daylight,2016,Strategy,60000.0,0.0,35,9,3.888888888888889,6666.666666666667
Red Stone,2004,Role-Playing Game,58000.0,58000.0,12,2,6.0,29000.0
FIFA 05,2004,Sports,57728.01,57728.01,5,8,0.625,7216.00125
Under Night In-Birth EXE: Late[st],2015,Fighting Game,54583.33,54583.33,109,40,2.725,1364.5832500000001
FIFA 12,2011,Sports,54431.52,47279.42,53,66,0.803030303030303,824.7199999999999
Stardew Valley,2016,Role-Playing Game,54250.0,0.0,56,2,28.0,27125.0
FIFA 03,2002,Sports,54066.44,54066.44,10,3,3.3333333333333335,18022.146666666667
Command & Conquer 3,2007,Strategy,53086.67,53086.67,9,8,1.125,6635.83375
Asphalt 9: Legends,2018,Racing,51520.0,51520.0,5,2,2.5,25760.0
Day of Defeat,2003,First-Person Shooter,51180.41,51180.41,43,4,10.75,12795.1025
Street Fighter III: 3rd Strike,1999,Fighting Game,50741.58,50174.36,92,40,2.3,1268.5395
Call of Duty,2003,First-Person Shooter,50629.77,50629.77,51,3,17.0,16876.59
Madden NFL 2016,2015,Sports,50000.0,50000.0,8,1,8.0,50000.0
Borderlands 3,2019,First-Person Shooter,50000.0,0.0,16,1,16.0,50000.0
WWE 2K20,2019,Fighting Game,50000.0,0.0,20,2,10.0,25000.0
FIFA 2000,1999,Sports,50000.0,50000.0,4,1,4.0,50000.0
Descent 3,1999,First-Person Shooter,50000.0,50000.0,1,1,1.0,50000.0
Splitgate: Arena Warfare,2019,Multiplayer Online Battle Arena,50000.0,0.0,64,2,32.0,25000.0
Spellbreak,2020,Battle Royale,50000.0,0.0,42,1,42.0,50000.0
Rogue Company,2020,Third-Person Shooter,50000.0,0.0,48,2,24.0,25000.0
Yu-Gi-Oh! Duel Links,2016,Collectible Card Game,48746.72,0.0,328,219,1.4977168949771689,222.58776255707764
Uncharted 4: A Thief's End,2016,First-Person Shooter,46235.07,46235.07,5,1,5.0,46235.07
FIFA 2001,2000,Sports,46000.0,46000.0,9,2,4.5,23000.0
Crab Game,2021,Multiplayer Online Battle Arena,45950.0,44000.0,32,11,2.909090909090909,4177.272727272727
King of Fighters XIII,2010,Fighting Game,44724.28,44724.28,107,43,2.488372093023256,1040.099534883721
Gran Turismo 4,2004,Racing,44000.0,44000.0,5,2,2.5,22000.0
FIFA 2002 World Cup,2002,Sports,43000.0,43000.0,8,1,8.0,43000.0
Tetris,1989,Puzzle Game,42515.99,16633.17,67,28,2.392857142857143,1518.4282142857141
Bloodline Champions,2011,Multiplayer Online Battle Arena,41905.32,40850.0,43,12,3.5833333333333335,3492.11
Pro Evolution Soccer 4,2004,Sports,40550.64,40550.64,11,2,5.5,20275.32
FIFA 04,2003,Sports,40000.0,40000.0,3,3,1.0,13333.333333333334
Aliens versus Predator 2,2001,First-Person Shooter,40000.0,40000.0,1,1,1.0,40000.0
Virtua Fighter 5,2007,Fighting Game,39830.0,39830.0,14,7,2.0,5690.0
Rivals of Aether,2015,Fighting Game,39268.62,36737.0,50,21,2.380952380952381,1869.9342857142858
Marvel vs. Capcom 2,2000,Fighting Game,39060.0,39050.0,60,28,2.142857142857143,1395.0
Guilty Gear Xrd -SIGN-,2014,Fighting Game,37445.66,37445.66,80,38,2.1052631578947367,985.412105263158
BlazBlue: Chronophantasma,2012,Fighting Game,37020.58,37020.58,63,15,4.2,2468.038666666667
Guilty Gear Xrd -REVELATOR-,2016,Fighting Game,36437.43,36437.43,61,19,3.210526315789474,1917.7594736842104
Grey Goo,2015,Strategy,36400.0,30400.0,18,5,3.6,7280.0
Need for Speed Carbon,2006,Racing,36322.58,36322.58,12,4,3.0,9080.645
Need for Speed: Most Wanted,2005,Racing,35694.54,35694.54,18,7,2.5714285714285716,5099.22
Need for Speed: Underground 2,2004,Racing,35629.48,35629.48,8,3,2.6666666666666665,11876.493333333334
Injustice: Gods Among Us,2013,Fighting Game,35176.89,35176.89,101,117,0.8632478632478633,300.65717948717946
Need for Speed: Underground,2003,Racing,35000.0,35000.0,3,1,3.0,35000.0
Project Gotham Racing 2,2003,Racing,35000.0,35000.0,4,2,2.0,17500.0
Zwift,2015,Sports,33827.08,0.0,6,2,3.0,16913.54
Playchess.com,2002,Strategy,32866.58,0.0,116,9,12.88888888888889,3651.8422222222225
Need for Speed: ProStreet,2007,Racing,32208.46,32208.46,12,3,4.0,10736.153333333334
Pro Evolution Soccer 5,2005,Sports,32000.0,32000.0,4,1,4.0,32000.0
Identity V,2018,Strategy,31911.1,31911.1,6,1,6.0,31911.1
Super Street Fighter IV,2010,Fighting Game,30229.3,20877.3,43,18,2.388888888888889,1679.4055555555556
Gran Turismo Sport,2017,Racing,30022.56,27511.0,119,22,5.409090909090909,1364.6618181818183
Dirt Rally 2.0,2019,Racing,30000.0,10000.0,9,4,2.25,7500.0
Dead or Alive Ultimate,2004,Fighting Game,30000.0,30000.0,3,1,3.0,30000.0
UNO,2016,Strategy,30000.0,0.0,28,3,9.333333333333334,10000.0
Asphalt 4,2008,Racing,29500.0,29500.0,5,2,2.5,14750.0
Pro Evolution Soccer 2014,2013,Sports,29410.25,29410.25,4,1,4.0,29410.25
FIFA 22,2021,Sports,28622.56,28622.56,16,1,16.0,28622.56
The Division 2,2019,Third-Person Shooter,27250.0,0.0,40,2,20.0,13625.0
Pro Evolution Soccer 2016,2015,Sports,27243.84,27243.84,17,6,2.8333333333333335,4540.64
Pro Evolution Soccer 2015,2014,Sports,26544.76,26544.76,3,1,3.0,26544.76
Dota Underlords,2019,Strategy,26024.18,0.0,62,36,1.7222222222222223,722.8938888888889
Battlefield 3,2011,First-Person Shooter,25407.46,25407.46,5,7,0.7142857142857143,3629.637142857143
Project Gotham Racing 4,2007,Racing,25208.46,25208.46,5,4,1.25,6302.115
Pro Evolution Soccer 3,2003,Sports,25000.0,25000.0,8,2,4.0,12500.0
BlazBlue: Continuum Shift II,2010,Fighting Game,24591.01,24591.01,14,5,2.8,4918.201999999999
Super Street Fighter II Turbo,1994,Fighting Game,24322.45,24322.45,109,47,2.3191489361702127,517.4989361702128
Capcom vs. SNK 2,2001,Fighting Game,24246.79,24246.79,37,20,1.85,1212.3395
Skullgirls 2nd Encore,2015,Fighting Game,23663.02,18351.0,40,18,2.2222222222222223,1314.6122222222223
NHL 19,2018,Sports,22566.67,19566.67,10,8,1.25,2820.83375
Marvel vs. Capcom 3,2011,Fighting Game,22343.62,22343.62,38,12,3.1666666666666665,1861.9683333333332
Pokk<U+00E9>n Tournament DX,2017,Fighting Game,22125.4,21914.0,44,28,1.5714285714285714,790.1928571428572
TrackMania 2: Canyon,2011,Racing,22098.74,16559.04,21,36,0.5833333333333334,613.853888888889
Pro Evolution Soccer 6,2006,Sports,20216.82,20216.82,5,2,2.5,10108.41
Mad Skills Motocross 2,2017,Racing,20163.0,20163.0,12,1,12.0,20163.0
ARMS,2017,Fighting Game,20130.77,13261.93,110,88,1.25,228.75875
Sekiro: Shadows Die Twice,2019,Fighting Game,19596.0,0.0,20,1,20.0,19596.0
Golf With Your Friends,2016,Sports,19400.0,0.0,11,2,5.5,9700.0
Guitar Hero III: Legends of Rock,2007,Sports,19000.0,19000.0,8,2,4.0,9500.0
Persona 4 Arena Ultimax,2013,Fighting Game,18948.16,18948.16,61,20,3.05,947.408
Mordhau,2019,Fighting Game,16623.0,0.0,40,3,13.333333333333334,5541.0
Super Street Fighter II Turbo HD Remix,2008,Fighting Game,16360.0,16360.0,29,8,3.625,2045.0
Dead or Alive 5: Last Round,2015,Fighting Game,15413.82,15413.82,46,20,2.3,770.691
rFactor,2005,Racing,15083.56,0.0,51,4,12.75,3770.89
The Binding of Isaac,2011,Strategy,15000.0,0.0,16,1,16.0,15000.0
Xonotic,2010,First-Person Shooter,14405.01,26.07,146,42,3.4761904761904763,342.9764285714286
Day of Defeat: Source,2005,First-Person Shooter,14068.57,10286.47,50,8,6.25,1758.57125
Guilty Gear XX Accent Core Plus R,2012,Fighting Game,13802.14,5530.0,79,29,2.7241379310344827,475.9358620689655
Battlefield Hardline,2015,First-Person Shooter,13463.28,13463.28,20,1,20.0,13463.28
Prophecy,2020,Strategy,13000.0,0.0,27,4,6.75,3250.0
Critical Ops,2015,First-Person Shooter,12606.41,2500.0,4,3,1.3333333333333333,4202.136666666666
Tekken 4,2001,Fighting Game,12500.0,12500.0,4,4,1.0,3125.0
Heavy Metal Machines,2017,Multiplayer Online Battle Arena,12339.33,0.0,35,1,35.0,12339.33
Tekken 5: Dark Resurrection,2006,Fighting Game,12180.0,12180.0,18,5,3.6,2436.0
Wise Star 2,2008,Puzzle Game,12000.0,12000.0,3,1,3.0,12000.0
Live for Speed,2003,Racing,11599.14,9219.14,22,9,2.4444444444444446,1288.7933333333333
Forza Motorsport 3,2009,Racing,11000.0,11000.0,3,2,1.5,5500.0
Mystery Game Tournament,2019,Fighting Game,10995.0,10995.0,56,8,7.0,1374.375
Need for Speed: Shift,2009,Racing,10500.0,10500.0,3,1,3.0,10500.0
Guitar Hero 5,2009,Sports,10500.0,10500.0,3,1,3.0,10500.0
Guilty Gear XX Accent Core,2007,Fighting Game,10365.0,10365.0,33,4,8.25,2591.25
Tekken 5,2004,Fighting Game,10250.0,10250.0,10,9,1.1111111111111112,1138.888888888889
Guilty Gear XX Slash,2005,Fighting Game,10250.0,10250.0,6,2,3.0,5125.0
Hyper Street Fighter II,2003,Fighting Game,10250.0,10250.0,8,1,8.0,10250.0
Splatoon 2,2017,First-Person Shooter,10055.0,9755.0,13,7,1.8571428571428572,1436.4285714285713
Internet Chess Club,1995,Strategy,10000.0,0.0,6,1,6.0,10000.0
Melty Blood: Actress Again Current Code,2010,Fighting Game,9529.93,6765.0,60,22,2.727272727272727,433.1786363636364
Vampire Savior,1997,Fighting Game,9465.95,8318.74,32,20,1.6,473.2975
Skullgirls Encore,2014,Fighting Game,9155.4,9155.4,37,13,2.8461538461538463,704.2615384615384
Company of Heroes 2,2013,Strategy,8561.22,7956.22,11,6,1.8333333333333333,1426.87
Black Squad,2017,First-Person Shooter,8480.72,0.0,57,17,3.3529411764705883,498.8658823529411
Metal Gear Online,2008,First-Person Shooter,8000.0,0.0,37,8,4.625,1000.0
King of Fighters 98,1998,Fighting Game,7945.57,7945.57,7,3,2.3333333333333335,2648.523333333333
Street Fighter IV,2009,Fighting Game,7938.22,7938.22,41,12,3.4166666666666665,661.5183333333333
Million Arthur: Arcana Blood,2017,Fighting Game,7540.0,7530.0,12,4,3.0,1885.0
Gears of War 3,2011,Third-Person Shooter,7255.81,4555.81,13,4,3.25,1813.9525
Doom (2016),2016,First-Person Shooter,7000.0,7000.0,6,1,6.0,7000.0
Persona 4 Arena,2012,Fighting Game,6336.63,6336.63,42,11,3.8181818181818183,576.0572727272728
Nascar Heat 5,2020,Racing,6125.0,2500.0,20,2,10.0,3062.5
Under Night In-Birth EXE: Late,2014,Fighting Game,6025.76,6025.76,52,23,2.260869565217391,261.9895652173913
Divekick,2013,Fighting Game,5840.0,5840.0,27,11,2.4545454545454546,530.9090909090909
Fantasy Strike,2019,Fighting Game,5799.8,2610.0,21,5,4.2,1159.96
Lethal League Blaze,2018,Fighting Game,5643.92,1677.75,25,12,2.0833333333333335,470.32666666666665
Windjammers,1994,Strategy,5401.47,4912.16,35,15,2.3333333333333335,360.098
Age of Empires Online,2011,Strategy,5356.56,775.0,25,17,1.4705882352941178,315.0917647058824
Tetr.io,2020,Puzzle Game,5287.88,2034.4,27,13,2.076923076923077,406.76
Doom II: Hell on Earth,1994,First-Person Shooter,5108.56,2200.0,14,8,1.75,638.57
Unreal Tournament (2016),2016,First-Person Shooter,5084.97,0.0,82,8,10.25,635.62125
Rage,2011,First-Person Shooter,5000.0,5000.0,3,1,3.0,5000.0
The Elder Scrolls: Legends,2017,Collectible Card Game,5000.0,5000.0,3,1,3.0,5000.0
Soul Calibur II,2003,Fighting Game,4980.0,4980.0,17,8,2.125,622.5
BlazBlue: Chronophantasma Extend,2015,Fighting Game,4918.77,4918.77,28,11,2.5454545454545454,447.1609090909091
Them's Fightin' Herds,2018,Fighting Game,4578.19,530.0,28,29,0.9655172413793104,157.86862068965516
Naruto Shippuden: Ultimate Ninja Storm 4,2016,Fighting Game,4550.0,2000.0,7,5,1.4,910.0
Power Rangers: Battle for the Grid,2019,Fighting Game,4540.6,880.0,22,9,2.4444444444444446,504.5111111111112
Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe,2009,Fighting Game,4501.52,220.0,18,6,3.0,750.2533333333334
Power Rangers: Legacy Wars,2017,Fighting Game,4178.55,4178.55,2,1,2.0,4178.55
Rushdown Revolt,2021,Fighting Game,4160.09,0.0,31,18,1.7222222222222223,231.1161111111111
Faeria,2017,Collectible Card Game,4100.0,0.0,12,5,2.4,820.0
NHL '94,1993,Sports,3818.56,3818.56,25,8,3.125,477.32
Puyo Puyo Tetris,2014,Puzzle Game,3422.84,1617.75,31,16,1.9375,213.9275
Sailor Moon S,1995,Fighting Game,3281.19,3271.19,20,12,1.6666666666666667,273.4325
Gran Turismo 3: A-Spec,2001,Racing,3250.0,3250.0,4,2,2.0,1625.0
Dengeki Bunko: Fighting Climax Ignition,2015,Fighting Game,3202.8,3017.3,36,13,2.769230769230769,246.3692307692308
NHL 15,2014,Sports,3157.16,3157.16,3,3,1.0,1052.3866666666665
NHL 14,2013,Sports,3023.96,3023.96,6,3,2.0,1007.9866666666667
Mythgard,2019,Collectible Card Game,3000.0,0.0,9,3,3.0,1000.0
Tatsunoko vs. Capcom: Ultimate All-Stars,2010,Fighting Game,2771.76,1330.81,16,16,1.0,173.235
Street Fighter Alpha 2,1996,Fighting Game,2594.69,1480.0,23,10,2.3,259.469
Rocket League Sideswipe,2021,Sports,2500.0,0.0,1,1,1.0,2500.0
Puyo Puyo Champions,2019,Puzzle Game,2482.3,2071.8,14,5,2.8,496.46000000000004
Reflex,2015,First-Person Shooter,2458.37,163.66,24,9,2.6666666666666665,273.15222222222224
Blaston,2020,First-Person Shooter,2428.12,0.0,12,6,2.0,404.68666666666667
Under Night In-Birth Exe:Late[cl-r],2020,Fighting Game,2231.13,1601.37,25,5,5.0,446.226
Pro Evolution Soccer 2008,2007,Sports,2084.15,2084.15,6,3,2.0,694.7166666666667
Melty Blood: Type Lumina,2021,Fighting Game,2004.59,2004.59,8,1,8.0,2004.59
ComPet,2016,Strategy,2000.0,0.0,50,1,50.0,2000.0
Nitroplus Blasterz: Heroines Infinite Duel,2015,Fighting Game,1994.0,1994.0,10,4,2.5,498.5
Tetris Effect: Connected,2020,Puzzle Game,1934.91,1552.88,12,3,4.0,644.97
Koihime Enbu,2016,Fighting Game,1765.0,1615.0,14,7,2.0,252.14285714285714
Mario Kart 8 Deluxe,2017,Racing,1754.44,1754.44,30,4,7.5,438.61
Fighting EX Layer,2018,Fighting Game,1642.96,1632.96,16,7,2.2857142857142856,234.70857142857145
Catherine,2011,Puzzle Game,1545.0,1470.0,11,7,1.5714285714285714,220.71428571428572
Madden NFL 2004,2003,Sports,1500.0,1500.0,3,1,3.0,1500.0
Microsoft Excel,1985,Puzzle Game,1400.0,0.0,8,4,2.0,350.0
Pro Evolution Soccer 2009,2008,Sports,1395.97,0.0,5,2,2.5,697.985
Splatoon,2015,First-Person Shooter,1390.0,0.0,3,4,0.75,347.5
Eternal Fighter Zero,2000,Fighting Game,1311.6,0.0,7,2,3.5,655.8
Warparty,2019,Strategy,1175.0,0.0,6,2,3.0,587.5
Artifact Foundry,2020,Collectible Card Game,1174.5,0.0,21,12,1.75,97.875
Shards of War,2015,Multiplayer Online Battle Arena,1029.21,0.0,20,1,20.0,1029.21
Trackmania United,2006,Racing,1027.5,1027.5,3,1,3.0,1027.5
Rising Thunder,2015,Fighting Game,1000.0,1000.0,3,1,3.0,1000.0
Arcana Heart 3,2009,Fighting Game,1000.0,1000.0,4,1,4.0,1000.0
Virtua Fighter 5: Ultimate Showdown,2021,Fighting Game,1000.0,0.0,13,2,6.5,500.0
Soul Calibur II HD Online,2013,Fighting Game,945.41,945.41,29,5,5.8,189.082
Kill la Kill the Game: IF,2019,Fighting Game,920.0,770.0,12,4,3.0,230.0
Puyo Puyo Tetris 2,2020,Puzzle Game,896.02,785.85,10,2,5.0,448.01
Teenage Mutant Ninja Turtles: Tournament Fighters,1993,Fighting Game,820.0,820.0,7,2,3.5,410.0
Star Wars: Squadrons,2020,Strategy,800.0,0.0,4,1,4.0,800.0
Trackmania 2: Valley,2013,Racing,779.34,779.34,6,2,3.0,389.67
King of Fighters 2002 Unlimited Match,2009,Fighting Game,760.0,760.0,6,2,3.0,380.0
Duck Game,2014,Fighting Game,750.0,0.0,5,2,2.5,375.0
NHL 12,2011,Sports,702.93,702.93,6,2,3.0,351.465
Trackmania Turbo,2016,Racing,679.41,0.0,6,2,3.0,339.705
Garou: Mark of the Wolves,1999,Fighting Game,658.71,513.71,13,4,3.25,164.6775
Fight of Animals,2019,Fighting Game,630.68,0.0,9,4,2.25,157.67
Slap City,2018,Fighting Game,600.0,0.0,5,2,2.5,300.0
SLAYERS FOR HIRE,2020,Fighting Game,600.0,0.0,8,2,4.0,300.0
Samurai Shodown V Special,2004,Fighting Game,590.57,490.11,15,5,3.0,118.114
Virtua Fighter 5 Final Showdown,2010,Fighting Game,573.77,573.77,28,6,4.666666666666667,95.62833333333333
Lemnis Gate,2021,First-Person Shooter,572.86,0.0,5,4,1.25,143.215
Arcana Heart 3: Love Max Six Stars!!!!!,2014,Fighting Game,570.0,520.0,8,4,2.0,142.5
DOOMBRINGER,2017,First-Person Shooter,567.77,0.0,8,4,2.0,141.9425
NBA 2K21,2020,Sports,501.0,0.0,3,1,3.0,501.0
SNK Heroines: Tag Team Frenzy,2018,Fighting Game,430.0,430.0,3,1,3.0,430.0
Beat Aim,2019,First-Person Shooter,430.0,0.0,12,6,2.0,71.66666666666667
Acceleration of SUGURI 2,2018,Fighting Game,410.0,210.0,8,3,2.6666666666666665,136.66666666666666
Arcana Heart 3: LOVE MAX!!!!!,2013,Fighting Game,410.0,410.0,6,2,3.0,205.0
Punch Planet,2017,Fighting Game,400.0,0.0,6,2,3.0,200.0
Street Fighter EX2 Plus,1999,Fighting Game,350.0,350.0,5,2,2.5,175.0
Street Fighter Alpha 3,1998,Fighting Game,340.0,340.0,16,5,3.2,68.0
Maiden & Spell,2020,Fighting Game,325.0,0.0,5,2,2.5,162.5
JoJo's Bizarre Adventure: Heritage for the Future,1999,Fighting Game,324.99,0.0,8,3,2.6666666666666665,108.33
Ultra Fight Da! Kyanta 2,2019,Fighting Game,320.0,320.0,3,1,3.0,320.0
Skullgirls,2012,Fighting Game,300.0,300.0,3,1,3.0,300.0
Smash Remix,2019,Fighting Game,299.06,0.0,4,1,4.0,299.06
Gundam Versus,2017,First-Person Shooter,280.0,280.0,6,1,6.0,280.0
Jstris,2014,Puzzle Game,275.0,0.0,12,2,6.0,137.5
Soul Calibur IV,2008,Fighting Game,260.0,260.0,3,2,1.5,130.0
Aquapazza: Aquaplus Dream Match,2011,Fighting Game,245.0,245.0,5,2,2.5,122.5
MOBA Legends,2016,Multiplayer Online Battle Arena,225.0,0.0,3,1,3.0,225.0
Kirby Fighters 2,2020,Fighting Game,222.86,0.0,4,1,4.0,222.86
Tetris Ultimate,2014,Puzzle Game,221.0,221.0,3,1,3.0,221.0
Super Mario Party,2018,Strategy,220.0,220.0,4,1,4.0,220.0
GRID (2019),2019,Racing,218.75,218.75,3,1,3.0,218.75
Dragon Ball Z: Budokai 3,2004,Fighting Game,204.06,204.06,3,1,3.0,204.06
Digimon Rumble Arena,2001,Fighting Game,200.0,0.0,5,2,2.5,100.0
Schwarzerblitz,2020,Fighting Game,200.0,0.0,5,2,2.5,100.0
Naruto: Gekitou Ninja Taisen! 4,2005,Fighting Game,200.0,0.0,3,1,3.0,200.0
Project Plus,2019,Fighting Game,195.0,0.0,6,2,3.0,97.5
Fighter's History Dynamite,1994,Fighting Game,195.0,195.0,3,1,3.0,195.0
Cultris II,2011,Puzzle Game,190.95,0.0,3,1,3.0,190.95
Umineko: Golden Fantasia,2010,Fighting Game,190.0,90.0,9,3,3.0,63.333333333333336
Def Jam: Fight for NY,2004,Fighting Game,190.0,0.0,4,2,2.0,95.0
Pocket Rumble,2016,Fighting Game,185.0,0.0,5,2,2.5,92.5
Catherine: Full Body,2019,Puzzle Game,185.0,185.0,3,1,3.0,185.0
Warsow,2012,First-Person Shooter,183.0,0.0,2,1,2.0,183.0
Project Justice,2000,Fighting Game,165.0,165.0,3,1,3.0,165.0
Twinkle Star Sprites,1996,Puzzle Game,150.0,0.0,4,2,2.0,75.0
Speedrunners,2016,Racing,150.0,0.0,5,2,2.5,75.0
Ultimate Mortal Kombat 3,1995,Fighting Game,150.0,150.0,6,2,3.0,75.0
Hokuto no Ken,2005,Fighting Game,145.0,145.0,3,1,3.0,145.0
Chaos Code: New Sign of Catastrophe,2013,Fighting Game,140.0,140.0,3,1,3.0,140.0
Panel Attack,2020,Puzzle Game,140.0,0.0,5,2,2.5,70.0
Capcom vs. SNK,2000,Fighting Game,140.0,140.0,6,2,3.0,70.0
HYPERFIGHT,2019,Fighting Game,140.0,0.0,4,2,2.0,70.0
Forza Motorsport 4,2011,Racing,132.37,132.37,2,1,2.0,132.37
Magical Drop III,1997,Puzzle Game,130.0,130.0,3,1,3.0,130.0
Tough Love Arena,2021,Fighting Game,100.0,0.0,3,1,3.0,100.0
Toribash,2006,Fighting Game,100.0,0.0,3,1,3.0,100.0
Chex Quest,1996,First-Person Shooter,100.0,0.0,2,1,2.0,100.0
Mobile Suit Gundam: Extreme Vs Maxi Boost ON,2016,Third-Person Shooter,100.0,0.0,6,1,6.0,100.0
Red Earth,1996,Fighting Game,100.0,0.0,3,1,3.0,100.0
Mighty Fight Federation,2021,Fighting Game,100.0,0.0,3,1,3.0,100.0
Power Instinct: Matrimelee,2002,Fighting Game,90.0,0.0,5,2,2.5,45.0
Shrek SuperSlam,2005,Fighting Game,80.0,0.0,4,2,2.0,40.0
Samurai Shodown III,1995,Fighting Game,70.0,0.0,5,2,2.5,35.0
Mario Tennis Aces,2018,Sports,61.3,0.0,6,2,3.0,30.65
The Last Blade 2,1998,Fighting Game,60.0,0.0,4,2,2.0,30.0
Dengeki Bunko: Fighting Climax,2014,Fighting Game,60.0,60.0,3,1,3.0,60.0
Shovel Knight Showdown,2019,Fighting Game,60.0,60.0,3,1,3.0,60.0
Roof Rage,2019,Fighting Game,50.0,0.0,3,1,3.0,50.0
BlazBlue: Calamity Trigger,2008,Fighting Game,35.0,35.0,3,1,3.0,35.0
Guilty Gear,1998,Fighting Game,32.0,32.0,3,1,3.0,32.0
King of Fighters XI,2005,Fighting Game,25.0,25.0,3,1,3.0,25.0
Akatsuki Blitzkampf,2007,Fighting Game,20.0,0.0,3,1,3.0,20.0
Breakers Revenge,1998,Fighting Game,16.0,0.0,3,1,3.0,16.0
Asuka 120% LimitOver BURNING Fest.,1998,Fighting Game,10.0,0.0,3,1,3.0,10.0
